|id|urlkey|timestamp|mime|mime-detected|digest|offset|url|length|status|filename
0||com,goodreads)/book/show/18404410-girls-like-us?from_search=true|20190322152451|text/html|text/html|RV2645GPWKQHQ7KWM5YYH3XDN6PZRC3D|25531835|https://www.goodreads.com/book/show/18404410-girls-like-us?from_search=true|2303|403|crawl-data/CC-MAIN-2019-13/segments/1552912202671.79/crawldiagnostics/CC-MAIN-20190322135230-20190322161230-00555.warc.gz
0||com,goodreads)/book/show/18404410-girls-like-us?utm_medium=api&utm_source=blog_book|20190323233036|text/html|text/html|JHGE3XKRKFOPCY676QU4D7UA72FQBEHT|791698142|https://www.goodreads.com/book/show/18404410-girls-like-us?utm_medium=api&utm_source=blog_book|74834|200|crawl-data/CC-MAIN-2019-13/segments/1552912203093.63/warc/CC-MAIN-20190323221914-20190324003914-00123.warc.gz
0||com,goodreads)/book/show/18405.gone_with_the_wind?ac=1|20190324201034|text/html|text/html|6ZMKDRHXVQSKHBIO2A5HYZOACWTUSD3O|776505371|https://www.goodreads.com/book/show/18405.Gone_with_the_Wind?ac=1|118821|200|crawl-data/CC-MAIN-2019-13/segments/1552912203491.1/warc/CC-MAIN-20190324190033-20190324212033-00491.warc.gz
0||com,goodreads)/book/show/18405519-hope-is-a-ferris-wheel|20190320182915|text/html|text/html|3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ|9466200|http://www.goodreads.com/book/show/18405519-hope-is-a-ferris-wheel|874|403|crawl-data/CC-MAIN-2019-13/segments/1552912202450.64/crawldiagnostics/CC-MAIN-20190320170159-20190320192159-00487.warc.gz
0||com,goodreads)/book/show/18406804-the-cuddle-dragon|20190319154705|text/html|text/html|3I42H3S6NNFQ2MSVX7XZKYAYSCX5QBYJ|8982988|http://www.goodreads.com/book/show/18406804-the-cuddle-dragon|866|403|crawl-data/CC-MAIN-2019-13/segments/1552912201996.61/crawldiagnostics/CC-MAIN-20190319143502-20190319165502-00021.warc.gz
0||com,goodreads)/book/show/1841729.alfred_hitchcock_presents|20190320222635|text/html|text/html|TJKM2XZYGBO5BLX6LNXFKSHQHF2JHMA6|24343750|https://www.goodreads.com/book/show/1841729.Alfred_Hitchcock_Presents|2022|403|crawl-data/CC-MAIN-2019-13/segments/1552912202471.4/crawldiagnostics/CC-MAIN-20190320210433-20190320232433-00161.warc.gz
0||com,goodreads)/book/show/1842.guns_germs_and_steel|20190326012156|text/html|text/html|CHU6NFNIG6OWMNYLGLHA4R7F6DGJP2W6|25180450|https://www.goodreads.com/book/show/1842.Guns_Germs_and_Steel|1248|403|crawl-data/CC-MAIN-2019-13/segments/1552912204736.6/crawldiagnostics/CC-MAIN-20190325234449-20190326020449-00236.warc.gz
0||com,goodreads)/book/show/18422.gifted_hands|20190320101932|text/html|text/html|CYA6Q2ESWI2TGTY6HAEB2KGVVR6SESC4|806466589|https://www.goodreads.com/book/show/18422.Gifted_Hands|75981|200|crawl-data/CC-MAIN-2019-13/segments/1552912202324.5/warc/CC-MAIN-20190320085116-20190320111116-00292.warc.gz
0||com,goodreads)/book/show/18427101-att-g-ra-k-n---om-v-rt-v-ldsamma-behov-av-att-vara-kvinnor-och-m-n?ac=1&from_search=true|20190326153924|text/html|text/html|67B3YH2HL5ICJIG4263PQATY3TT5UDQX|753088423|https://www.goodreads.com/book/show/18427101-att-g-ra-k-n---om-v-rt-v-ldsamma-behov-av-att-vara-kvinnor-och-m-n?ac=1&from_search=true|29174|200|crawl-data/CC-MAIN-2019-13/segments/1552912205534.99/warc/CC-MAIN-20190326135436-20190326161436-00315.warc.gz
0||com,goodreads)/book/show/18430218-storm-dogs-vol-1-tp?utm_medium=api&utm_source=blog_book|20190326072732|text/html|text/html|XTT7NB32D7KRHSJUWNB4ONQAFTV3YHA5|26329444|https://www.goodreads.com/book/show/18430218-storm-dogs-vol-1-tp?utm_medium=api&utm_source=blog_book|2333|403|crawl-data/CC-MAIN-2019-13/segments/1552912204857.82/crawldiagnostics/CC-MAIN-20190326054828-20190326080828-00494.warc.gz
